Source_Name	RA_(deg)	Dec_(deg)	Flux_(Jy)
0502+252	75.744094	25.273401	18.000
0534+194	83.685493	19.455938	15.000
1330+251	202.657038	25.153049	15.000
1143+221	175.854539	22.115575	14.000
1549+214	237.454265	21.427460	10.000
0129+236	22.499172	23.639091	9.000
0604+203	91.119456	20.356176	9.000
1021+219	155.477204	21.991789	8.000
2251+188	342.894744	18.811151	8.000
0603+219	90.964821	21.993805	7.000
1556+200	239.041742	20.072348	7.000
